GEOID,Typology
34003023401,LI - Not Losing Low-Income Households
34003030100,LI - Not Losing Low-Income Households
34003033300,LI - Not Losing Low-Income Households
34003041200,LI - Not Losing Low-Income Households
34003046300,LI - Not Losing Low-Income Households
34013010100,LI - Not Losing Low-Income Households
34013014800,MHI - Displacement of LI hh - Ongoing Exclusion
34013016300,MHI - At Risk of Exclusion
34017000100,LI - Not Losing Low-Income Households
34017004900,LI - At Risk of Gentrification
34017011300,LI - Not Losing Low-Income Households
34017015600,LI - At Risk of Gentrification
34017016000,LI - At Risk of Gentrification
34017018800,MHI - Advanced Gentrification
34017019300,MHI - Advanced Gentrification
34019010900,LI - Not Losing Low-Income Households
34021003601,MHI - Not Losing Low-Income Households
34023001001,MHI - At Risk of Exclusion
34023002101,MHI - Displacement of LI hh - Ongoing Exclusion
34023004700,LI - Ongoing Displacement of Low- Income Households
34023006103,LI - Not Losing Low-Income Households
34023007600,LI - Not Losing Low-Income Households
34023007806,LI - Not Losing Low-Income Households
34023008102,LI - Not Losing Low-Income Households
34023008406,MHI - At Risk of Exclusion
34025806501,LI - Not Losing Low-Income Households
34025808900,LI - Not Losing Low-Income Households
34025810503,LI - Not Losing Low-Income Households
34027041701,LI - Not Losing Low-Income Households
34027043301,LI - Not Losing Low-Income Households
34027045901,LI - Not Losing Low-Income Households
34029714300,MHI - Not Losing Low-Income Households
34029715700,LI - Not Losing Low-Income Households
34035050500,LI - Ongoing Displacement of Low- Income Households
34035053105,LI - Not Losing Low-Income Households
34037373600,LI - Not Losing Low-Income Households
34039035600,MHI - Not Losing Low-Income Households
34039036800,MHI - At Risk of Exclusion
34023008205,LI - Not Losing Low-Income Households
34023008300,LI - Not Losing Low-Income Households
34023008504,MHI - Not Losing Low-Income Households
34025800602,MHI - Not Losing Low-Income Households
34025803400,LI - Not Losing Low-Income Households
34025805500,LI - Not Losing Low-Income Households
34025806400,LI - Not Losing Low-Income Households
34025807004,LI - Not Losing Low-Income Households
34025808401,LI - Not Losing Low-Income Households
34025808800,LI - Not Losing Low-Income Households
34025809600,MHI - At Risk of Exclusion
34027041100,LI - Ongoing Displacement of Low- Income Households
34027041702,LI - Not Losing Low-Income Households
34027042302,MHI - At Risk of Exclusion
34027043100,MHI - Displacement of LI hh - Ongoing Exclusion
34027044300,LI - Not Losing Low-Income Households
34027044502,LI - Not Losing Low-Income Households
34029710100,MHI - At Risk of Exclusion
34029713000,MHI - Displacement of LI hh - Ongoing Exclusion
34029713300,LI - Ongoing Displacement of Low- Income Households
34029714000,LI - Not Losing Low-Income Households
34029715600,LI - Not Losing Low-Income Households
34029723400,MHI - Not Losing Low-Income Households
34029730000,MHI - Displacement of LI hh - Ongoing Exclusion
34029739000,MHI - At Risk of Exclusion
34031124200,MHI - Not Losing Low-Income Households
34031175500,LI - Not Losing Low-Income Households
34003009100,MHI - Displacement of LI hh - Ongoing Exclusion
34003017100,MHI - At Risk of Exclusion
34003019102,LI - Not Losing Low-Income Households
34003021400,LI - Not Losing Low-Income Households
34003023402,LI - Not Losing Low-Income Households
34003025200,MHI - At Risk of Exclusion
34003033200,MHI - At Risk of Exclusion
34003046200,LI - Not Losing Low-Income Households
34003051100,LI - Ongoing Gentrification
34031246102,MHI - Displacement of LI hh - Ongoing Exclusion
34031246203,MHI - At Risk of Exclusion
34035053103,MHI - Not Losing Low-Income Households
34035053704,MHI - At Risk of Exclusion
34003061100,MHI - At Risk of Exclusion
34037372200,LI - Not Losing Low-Income Households
34037373000,LI - Not Losing Low-Income Households
34037374000,MHI - At Risk of Exclusion
34039032500,LI - Not Losing Low-Income Households
34039033400,MHI - Displacement of LI hh - Ongoing Exclusion
34039034200,LI - Not Losing Low-Income Households
34039035900,LI - Not Losing Low-Income Households
34013007700,LI - At Risk of Gentrification
34013013500,MHI - Displacement of LI hh - Ongoing Exclusion
34013014500,LI - Not Losing Low-Income Households
34013015500,MHI - Not Losing Low-Income Households
34013015900,MHI - Not Losing Low-Income Households
34013016700,LI - Not Losing Low-Income Households
34013019200,MHI - At Risk of Exclusion
34013020200,MHI - Displacement of LI hh - Ongoing Exclusion
34013021200,MHI - At Risk of Exclusion
34017000400,LI - Not Losing Low-Income Households
34017001400,LI - Not Losing Low-Income Households
34017002200,MHI - Advanced Gentrification
34017003500,MHI - Not Losing Low-Income Households
34017004700,LI - Ongoing Gentrification
34017010600,LI - At Risk of Gentrification
34017011100,LI - At Risk of Gentrification
34017013800,MHI - Advanced Gentrification
34017014200,LI - Not Losing Low-Income Households
34017014900,LI - Not Losing Low-Income Households
34017015700,LI - At Risk of Gentrification
34017017400,LI - Not Losing Low-Income Households
34039038800,LI - Not Losing Low-Income Households
34039039500,LI - Not Losing Low-Income Households
34017018100,MHI - At Risk of Exclusion
34017018600,MHI - At Risk of Exclusion
34017019200,MHI - Displacement of LI hh - Ongoing Exclusion
34021003902,MHI - At Risk of Exclusion
34023000403,MHI - Not Losing Low-Income Households
